Crop,N,P,K,Temperature,Humidity,pH,Rainfall,Yield
millet,,,,36.9,,,211,1990.4
sugarcane,,,,,73.1,7.2,,unknown
sugarcane,117,66,,,,,,3663.9
groundnut,,,,18.5,,,167,unknown
groundnut,,,70,23.5,,,,1876.6
groundnut,80,,35,22.7,,7.7,,2535.8
soybean,80,,23,28.9,44.3,,138,
wheat,,35,42,,,7.2,,2622.9
cotton,,,70,22.6,,,,
banana,,47,31,,47.7,4.5,221,
N/A,,,,,,,82,
barley,,,,,,7.7,252,
unknown,,50,,17.1,,,,
sugarcane,95,63,77,17.1,,,,4505.9
groundnut,100,37,,,,,,
cotton,,38,,,,8.3,,
barley,,27,,,,,,
banana,66,,,31.9,,4.8,171,
wheat,,32,,,,,,
unknown,113,,,34.8,86.4,,119,
groundnut,79,,,,,,,
maize,,29,69,,,,247,unknown
millet,,66,,18.4,,,69,
soybean,,72,,,,7.7,,unknown
groundnut,,25,,,,,,
N/A,125,67,78,,41.6,7.3,235,2758.1
soybean,71,,37,,,,,
unknown,,53,,26.8,92.8,4.8,253,unknown
wheat,77,39,,,,,,2638.4
millet,112,20,42,19.0,,,,unknown
sugarcane,,,74,,,,,unknown
barley,,,,,,,,2721.5
rice,,,,,,,,4224.1
cotton,,,,,55.3,,,
N/A,,,,37.0,,,185,
wheat,,,,,,4.6,,
N/A,,,,,,7.5,57,unknown
banana,,,68,,,8.4,188,
banana,,,,,,,,4299.2
sugarcane,,63,,16.0,,,,
cotton,,60,56,,51.3,5.1,183,
soybean,,40,75,,,,,unknown
sugarcane,,69,78,,60.4,,,unknown
millet,75,56,,33.5,72.0,,,
banana,,,,26.3,,5.7,,
cotton,61,,20,33.9,34.4,,,unknown
rice,,,,,,,151,4104.7
banana,119,,64,,,,,unknown
sugarcane,,,,,,,,
unknown,,,,,,5.2,,2824.4
cotton,,,,,,,,2244.8
barley,,61,,,,,281,
banana,50,,,15.4,,,131,
rice,,30,72,,,7.9,,unknown
cotton,,,,,,8.4,,1760.1
N/A,,,30,,,,108,unknown
rice,127,65,,17.2,,,,
sugarcane,,,,,35.0,7.5,284,
millet,,,54,,,4.9,,2901.7
cotton,65,,,,88.4,,,2189.2
,,,,15.8,34.5,,,
banana,,77,,,,6.2,248,3037.5
N/A,130,,35,,,,,
,,,,,86.6,7.6,,unknown
sugarcane,,,,,,,,
,,20,78,,50.7,,,unknown
sugarcane,,,,,92.3,6.5,277,unknown
banana,,,44,27.9,31.1,,280,unknown
unknown,,,76,,,,185,3167.5
sugarcane,,,,,,,,
N/A,,43,,29.0,59.6,,108,
unknown,94,,,,,,,unknown
sugarcane,107,,,,67.4,,,unknown
groundnut,,,49,,,5.8,,
cotton,,,,,97.7,8.2,,
,,63,,15.8,75.1,,,
sugarcane,,,,,93.7,6.5,229,
soybean,,70,,,,,152,
soybean,,,44,,,,,3236.5
soybean,87,,53,25.8,,,145,3247.6
sugarcane,50,48,42,,67.8,,165,unknown
barley,,43,26,,,,,
groundnut,46,25,30,27.7,47.9,,228,
rice,,74,,17.9,66.8,,,
N/A,,44,24,,84.4,5.2,,2990.5
wheat,,,49,21.0,,,,
banana,,,,21.2,77.1,7.6,195,4703.5
sugarcane,,,,,50.3,5.5,,5665.2
banana,,,,,,,,
barley,109,,,,58.7,,,unknown
millet,,,,,72.6,,175,unknown
barley,70,,,,,,,
cotton,,54,33,,77.4,,,unknown
cotton,,,76,19.2,,,233,unknown
millet,84,,,,97.4,8.0,106,1984.4
sugarcane,,50,,,,,,5461.5
groundnut,119,,,18.6,,,289,1417.7
millet,46,68,77,,,,,unknown
